year,total_rides,member_rides,non-member_rides,classic_bikes,electric_bikes,avg_trip_duration,busiest_hour
2014,968842,849778,119064,0,0,14.33,18
2024,4721691,3631729,1089962,1607238,3114453,14.17,17
